salesperson_id,sales_value,sales_date,sales_region,sales_channel,sales_quantity,customer_name,customer_email,customer_country
1,8351.96,10/6/2021,South America,Distributor,453,Ignatius Hassey,ihassey0@wunderground.com,Japan
2,641.68,3/17/2021,North America,Direct sales,20,Elane Caffin,ecaffin1@wisc.edu,Indonesia
3,1137.18,4/17/2021,Africa,Direct sales,183,Jill Mandre,jmandre2@psu.edu,France
4,7286.22,1/24/2021,South America,Distributor,197,Chandal Westphalen,cwestphalen3@microsoft.com,China
5,3114.97,1/26/2021,Europe,In-store,474,Shepherd Daoust,sdaoust4@plala.or.jp,Ukraine
6,5431.65,2/12/2021,North America,In-store,470,Shannon Pudge,spudge5@booking.com,China
7,5344.48,4/3/2021,Europe,Direct sales,75,Whit Paulillo,wpaulillo6@unc.edu,Finland
8,1123.74,8/9/2021,Africa,Direct sales,214,Becki Parzis,bparzis7@sitemeter.com,Mexico
9,6576.01,5/22/2021,Africa,Direct sales,922,Lexine Brent,lbrent8@wikia.com,China
10,5797.31,6/13/2021,North America,Direct sales,569,Mellie Basilotta,mbasilotta9@tinypic.com,China
11,7190.57,2/24/2021,North America,Online,962,Torey Halle,thallea@foxnews.com,United States
12,5927.94,8/26/2021,Europe,In-store,408,Tanitansy Seeks,tseeksb@comsenz.com,Philippines
13,1723.13,7/25/2021,Europe,In-store,622,Madison Fiddyment,mfiddymentc@hibu.com,China
14,52.85,11/20/2021,South America,Online,933,Mohammed Grimstead,mgrimsteadd@nyu.edu,Thailand
15,8101.08,8/17/2021,Europe,Direct sales,155,Frederic Paddick,fpaddicke@timesonline.co.uk,Brazil
16,5647.73,7/24/2021,Europe,In-store,808,Kenton Crowcombe,kcrowcombef@ow.ly,Poland
17,4085.43,5/7/2021,Asia,Distributor,758,Aguste Burke,aburkeg@bizjournals.com,China
18,4579.64,11/18/2021,South America,In-store,146,Eula Vondrak,evondrakh@clickbank.net,Mexico
19,2421.6,5/15/2021,Europe,Distributor,294,Hashim Romayne,hromaynei@domainmarket.com,South Africa
20,9214.09,7/17/2021,Africa,In-store,50,Anna-maria McDaid,amcdaidj@ihg.com,Indonesia
21,8508.11,8/20/2021,Europe,Direct sales,995,Alic Buchan,abuchank@ted.com,China
22,2654.16,2/6/2021,Europe,Online,595,Tessy Swafield,tswafieldl@hexun.com,Japan
23,8485.39,10/23/2021,South America,Direct sales,629,Valencia Burtt,vburttm@vkontakte.ru,Greece
24,5320.7,5/12/2021,South America,Direct sales,248,Trina Jiricka,tjirickan@imgur.com,Poland
25,3027.48,3/6/2021,Europe,Online,111,Antony Whittall,awhittallo@examiner.com,Sri Lanka
26,1224.5,1/17/2021,North America,In-store,155,Aime Toye,atoyep@answers.com,Poland
27,1669.25,9/30/2021,South America,Distributor,557,Vern Scarre,vscarreq@google.de,Bulgaria
28,5712.31,11/30/2021,South America,Direct sales,676,Blanche Fossett,bfossettr@yelp.com,Armenia
29,5980.45,11/5/2021,South America,Distributor,407,Wayland Wilkowski,wwilkowskis@scribd.com,Philippines
30,5595.18,1/24/2021,North America,Online,55,Lorens Brugman,lbrugmant@who.int,Indonesia
31,8812.65,4/30/2021,Europe,Direct sales,5,Roana Valett,rvalettu@unicef.org,France
32,4439.64,6/1/2021,Africa,Direct sales,989,Rowney Elcott,relcottv@blinklist.com,China
33,5778.4,11/7/2021,Africa,Distributor,158,Manya Mattessen,mmattessenw@skyrock.com,Colombia
34,789.02,4/29/2021,Africa,Online,66,Nevsa Trunkfield,ntrunkfieldx@bizjournals.com,Brazil
35,9156.28,2/19/2021,South America,In-store,15,Donalt Gunbie,dgunbiey@nyu.edu,Philippines
36,6860.17,5/7/2021,Europe,Online,849,Shaylyn Baker,sbakerz@oaic.gov.au,Canada
